2021-04-03T00:36:17.103997400  		Info		Application		Project started
2021-04-03T00:36:48.875945600  		Info		getData		Connected to database
2021-04-03T00:36:48.899932700  		Info		getData		E-mail addresses have gotten
2021-04-03T00:36:56.077760300  		Info		getData		Connected to database
2021-04-03T00:36:56.079780300  		Info		getData		Usernames have gotten
2021-04-03T00:37:36.330297800  		Info		SignUp		User 0 registered
2021-04-03T00:37:36.369278100  		Info		Submit		Connected to database
2021-04-03T00:37:36.388287900  		Info		Submit		User 0 submitted into database
2021-04-03T00:37:38.477800  		Info		getData		Connected to database
2021-04-03T00:37:38.480798100  		Info		getData		tweets of user 10 have gotten
2021-04-03T00:37:38.521775200  		Info		getData		Connected to database
2021-04-03T00:37:38.525773  		Info		getData		Follow requests of user 10 have gotten
2021-04-03T00:37:38.567751400  		Info		getData		Connected to database
2021-04-03T00:37:38.571747300  		Info		getData		Notes of user 10 have gotten
2021-04-03T00:37:38.611745600  		Info		getData		Connected to database
2021-04-03T00:37:38.614721500  		Info		getData		Blocked users by user 10 have gotten
2021-04-03T00:37:38.660697700  		Info		getData		Connected to database
2021-04-03T00:37:38.663696500  		Info		getData		Followers of user 10 have gotten
2021-04-03T00:37:38.710667900  		Info		getData		Connected to database
2021-04-03T00:37:38.713666  		Info		getData		Followings of user 10 have gotten
2021-04-03T00:37:38.749647200  		Info		getData		Connected to database
2021-04-03T00:37:38.749647200  		Info		getData		Chats have gotten
2021-04-03T00:37:55.581607  		Info		getData		Connected to database
2021-04-03T00:37:55.585604300  		Info		getData		User 7 have gotten
2021-04-03T00:37:55.619585300  		Info		getData		Connected to database
2021-04-03T00:37:55.621583100  		Info		getData		Blocked users by user 7 have gotten
2021-04-03T00:37:55.664559500  		Info		getData		Connected to database
2021-04-03T00:37:55.667560900  		Info		getData		User 7 have gotten
2021-04-03T00:37:55.713532900  		Info		getData		Connected to database
2021-04-03T00:37:55.715529400  		Info		getData		Blocked users by user 7 have gotten
2021-04-03T00:37:55.760506  		Info		getData		Connected to database
2021-04-03T00:37:55.762504300  		Info		getData		User 7 have gotten
2021-04-03T00:37:55.799483400  		Info		getData		Connected to database
2021-04-03T00:37:55.802480800  		Info		getData		Blocked users by user 7 have gotten
2021-04-03T00:37:55.835463500  		Info		getData		Connected to database
2021-04-03T00:37:55.837460  		Info		getData		User 7 have gotten
2021-04-03T00:37:55.872441100  		Info		getData		Connected to database
2021-04-03T00:37:55.873439300  		Info		getData		Blocked users by user 7 have gotten
2021-04-03T00:37:55.909418900  		Info		getData		Connected to database
2021-04-03T00:37:55.911419200  		Info		getData		User 7 have gotten
